p,level,h,N,ndof_Pi1,ndof_Pi0,err_geo,CF_geo,alpha_geo,err_geo_density,CF_geo_density,alpha_geo_density,err_int_1,CF_int_1,alpha_int_1,err_tot_1,CF_tot_1,alpha_tot_1,err_int_0,CF_int_0,alpha_int_0,err_tot_0,CF_tot_0,alpha_tot_0
3,0,0.5,112,506,672,0.00018681262438469714,nan,nan,0.0010876492167483055,nan,nan,0.0026938664857084293,nan,nan,0.0030886074094064026,nan,nan,0.009419869411179095,nan,nan,0.009510746235583616,nan,nan
3,1,0.25,448,2018,2688,1.2361631871633119e-05,15.112294745921517,3.9176508399166283,7.147544509308742e-05,15.217103095080901,3.927621831642726,0.0001767445220586775,15.241584035142493,3.929940942658735,0.0002046173663801843,15.09455167000679,3.9159560022481226,0.0012417630427251326,7.585883205628795,2.9233171596683674,0.0012448036130223979,7.6403587972334135,2.933640389940981
3,2,0.125,1792,8066,10752,7.835895987488466e-07,15.775645684132192,3.9796271496186066,4.526598392613267e-06,15.79010084254982,3.980948479801913,1.1138777297628475e-05,15.867497601941254,3.9880027194732213,1.2946921220792252e-05,15.804326209352134,3.982247624584228,0.00015737256353246434,7.890594236071967,2.980133952856211,0.00015746949263314698,7.90504619153367,2.9827738927040586
3,3,0.0625,7168,32258,43008,4.914705466543052e-08,15.943775350998086,3.9949213826378163,2.8385563084682244e-07,15.946833181040414,3.995198048180089,6.976196140430983e-07,15.966835039331809,3.9970064636430016,8.117244277454113e-07,15.949897253619323,3.995475225324447,1.973842592244501e-05,7.972903419492657,2.9951051929888766,1.9741470629838953e-05,7.976583689521797,2.9957709833529327
3,4,0.03125,28672,129026,172032,3.0743933792849763e-09,15.985935630937652,3.9987312800825174,1.7755772992240233e-08,15.98666703898925,3.998797286518089,4.3623842803740455e-08,15.991704746911523,3.999251836008331,5.077276404300655e-08,15.987398815984264,3.998863323227134,2.4693896077377828e-06,7.993240864299036,2.9987805633367515,2.4694848787131855e-06,7.994165422922517,2.9989474266939005
4,0,0.5,112,898,1120,7.209401314154603e-06,nan,nan,4.6306924380611776e-05,nan,nan,0.00040883387945183,nan,nan,0.00041830865352893935,nan,nan,0.001645631323901932,nan,nan,0.0016606556762611808,nan,nan
4,1,0.25,448,3586,4480,1.1842348316136657e-07,60.878139383308856,5.927852361358699,7.596036562185647e-07,60.96195562187716,5.92983727922663,1.3364019339572015e-05,30.59213467622256,4.935088874531094,1.3447980058918712e-05,31.105686630723156,4.9591064477184235,0.0001068927910541587,15.39515721942512,3.944404695529383,0.0001071271642885376,15.501723463792532,3.954356716479917
4,2,0.125,1792,14338,17920,1.8726941628893936e-09,63.236958553152164,5.982696076343883,1.201125428486325e-08,63.240993671729,5.982788131053178,4.244935391559414e-07,31.482267942510724,4.976467569390858,4.251731098459363e-07,31.62942281037401,4.983195323957691,6.736444932168994e-06,15.86783416631322,3.9880333200513998,6.740100820177956e-06,15.894000274866686,3.9904103693782824
4,3,0.0625,7168,57346,71680,2.934774335857235e-11,63.810499499355466,5.995721922159299,1.8823031278780584e-10,63.8114770515399,5.995744023520316,1.3318080103133472e-08,31.873478449500144,4.994284568286167,1.3323437812862222e-08,31.911666929948165,4.996012065734562,4.219236853640559e-07,15.966026951903558,3.9969334464655297,4.219807805781183e-07,15.97253033880819,3.997520974830106
4,4,0.03125,28672,229378,286720,4.588890559063798e-13,63.95389687515173,5.998960363785852,2.943213114126307e-12,63.9540208231513,5.9989631598467605,4.165991730385594e-10,31.968570667087675,4.998582336734843,4.166411264643241e-10,31.97821090281416,4.9990173209526425,2.6384328119762387e-08,15.991450813106992,3.999228927134325,2.6385220111548308e-08,15.993074107175076,3.9993753678464996
